Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1961","1961","t","136344","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1962","1962","t","142131","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1963","1963","t","157140","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1964","1964","t","201048","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1965","1965","t","192905","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1966","1966","t","242928","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1967","1967","t","232394","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1968","1968","t","255997","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1969","1969","t","253182","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1970","1970","t","267213","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1971","1971","t","297881","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1972","1972","t","372367","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1973","1973","t","341305","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1974","1974","t","347231","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1975","1975","t","429760","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1976","1976","t","447100","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1977","1977","t","369964","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1978","1978","t","485503","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1979","1979","t","480595","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1980","1980","t","558313","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1981","1981","t","556674","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1982","1982","t","644857","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1983","1983","t","547571","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1984","1984","t","690611","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1985","1985","t","640231","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1986","1986","t","690103","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1987","1987","t","673928","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1988","1988","t","926263","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1989","1989","t","961548","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1990","1990","t","815229","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1991","1991","t","940965","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1992","1992","t","1206286","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1993","1993","t","1535265","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1994","1994","t","1276832","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1995","1995","t","1433127","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1996","1996","t","1582098","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1997","1997","t","1526274","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1998","1998","t","1456860.06","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","1999","1999","t","1571973","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2000","2000","t","1593472","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2001","2001","t","1549566.5","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2002","2002","t","1776484.01","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2003","2003","t","1896062.21","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2004","2004","t","2043572.19","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2005","2005","t","1903990.39","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2006","2006","t","2019886.72","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2007","2007","t","2021888.27","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2008","2008","t","2141215.58","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2009","2009","t","2161993.99","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2010","2010","t","2203906.47","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2011","2011","t","2316522.83","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2012","2012","t","2366296","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2013","2013","t","2726919.63","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2014","2014","t","2556820.65","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2015","2015","t","2877574.91","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2016","2016","t","2739455.48","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2017","2017","t","3092358.74","A","Official figure"
