Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1961","1961","t","184915.15","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1962","1962","t","190929.91","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1963","1963","t","195043.51","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1964","1964","t","206641.57","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1965","1965","t","212581.62","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1966","1966","t","217894.4","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1967","1967","t","232147.83","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1968","1968","t","239928.88","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1969","1969","t","257229.46","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1970","1970","t","259483.62","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1971","1971","t","268502.95","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1972","1972","t","289565.45","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1973","1973","t","301139.13","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1974","1974","t","294228.94","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1975","1975","t","298313.35","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1976","1976","t","311548.8","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1977","1977","t","323250.38","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1978","1978","t","327678.84","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1979","1979","t","329662.79","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1980","1980","t","342197.67","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1981","1981","t","361315.77","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1982","1982","t","373641.54","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1983","1983","t","382538.22","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1984","1984","t","401875.47","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1985","1985","t","417523.33","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1986","1986","t","448220.19","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1987","1987","t","487233.1","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1988","1988","t","507847.76","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1989","1989","t","561242.94","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1990","1990","t","631371.65","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1991","1991","t","664042.34","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1992","1992","t","705164.28","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1993","1993","t","729282.87","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1994","1994","t","748557.1","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1995","1995","t","807276.98","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1996","1996","t","826081.04","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1997","1997","t","856611.52","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1998","1998","t","874911.24","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","1999","1999","t","889973.61","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2000","2000","t","926758.19","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2001","2001","t","957837.76","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2002","2002","t","1005376.61","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2003","2003","t","1035909.11","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2004","2004","t","1081152.59","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2005","2005","t","1124330.64","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2006","2006","t","1155064.94","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2007","2007","t","1194596.63","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2008","2008","t","1249306","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2009","2009","t","1264920.22","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2010","2010","t","1314083.17","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2011","2011","t","1368350.94","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2012","2012","t","1444879.53","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2013","2013","t","1504713.31","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","t","1576485.82","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2015","2015","t","1617605.21","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2016","2016","t","1664736.41","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2017","2017","t","1741699.39","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2018","2018","t","1912037.68","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2019","2019","t","1909324.09","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2020","2020","t","1922769.82","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","t","1977904.78","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","t","2101487.39","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1961","1961","t","1960373.07","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1962","1962","t","1971816.42","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1963","1963","t","2037819.65","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1964","1964","t","2114745.41","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1965","1965","t","2163355.97","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1966","1966","t","2226574.8","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1967","1967","t","2228215.19","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1968","1968","t","2292022.35","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1969","1969","t","2386284.7","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1970","1970","t","2443793.26","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1971","1971","t","2449608.4","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1972","1972","t","2509114.32","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1973","1973","t","2608156.26","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1974","1974","t","2643081.87","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1975","1975","t","2577435.14","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1976","1976","t","2721184.51","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1977","1977","t","2860465.88","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1978","1978","t","3036691.04","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1979","1979","t","3127471.64","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1980","1980","t","3190976.39","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1981","1981","t","3157452.3","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1982","1982","t","3281763.99","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1983","1983","t","3358073.13","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1984","1984","t","3448556.42","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1985","1985","t","3480370.47","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1986","1986","t","3352274.61","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1987","1987","t","3291350.21","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1988","1988","t","3311870.35","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1989","1989","t","3384411.74","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1990","1990","t","3502878.84","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1991","1991","t","4131838.52","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1992","1992","t","4279511.67","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1993","1993","t","4112808.75","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1994","1994","t","4054017.3","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1995","1995","t","4093109.19","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1996","1996","t","4202457.04","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1997","1997","t","4599330.16","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1998","1998","t","4472151.2","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","1999","1999","t","4712344.85","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2000","2000","t","4691965.78","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2001","2001","t","4729481.24","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2002","2002","t","4979958.93","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2003","2003","t","5003642.76","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2004","2004","t","5084757.07","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2005","2005","t","5358945.23","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2006","2006","t","5503528.88","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2007","2007","t","5621379.88","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2008","2008","t","5798738.97","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2009","2009","t","5979341.67","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2010","2010","t","6265119.2","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2011","2011","t","6371960.51","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2012","2012","t","6413160.88","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2013","2013","t","6692725.19","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2014","2014","t","6698113.73","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2015","2015","t","6952511.61","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2016","2016","t","6650892.17","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2017","2017","t","6685232.52","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2018","2018","t","6854761.16","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2019","2019","t","7024152.54","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2020","2020","t","6831415.01","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2021","2021","t","6995733.08","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1806","Beef and Buffalo Meat, primary","2022","2022","t","7045009.85","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1961","1961","t","395209.69","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1962","1962","t","410977.08","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1963","1963","t","424787.6","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1964","1964","t","444864.75","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1965","1965","t","479001.19","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1966","1966","t","509588.76","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1967","1967","t","535898.44","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1968","1968","t","566157.11","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1969","1969","t","589293.55","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1970","1970","t","590444.49","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1971","1971","t","607415.29","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1972","1972","t","627667.02","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1973","1973","t","652157.78","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1974","1974","t","704241.96","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1975","1975","t","759666.3","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1976","1976","t","776213","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1977","1977","t","827757.76","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1978","1978","t","861861.5","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1979","1979","t","907470.5","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1980","1980","t","932746","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1981","1981","t","957999.36","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1982","1982","t","1045746.22","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1983","1983","t","1075717.8","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1984","1984","t","1090157.5","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1985","1985","t","1153802","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1986","1986","t","1254117.5","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1987","1987","t","1350714.5","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1988","1988","t","1410373","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1989","1989","t","1368608","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1990","1990","t","1539084.8","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1991","1991","t","1639985.98","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1992","1992","t","1658164.49","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1993","1993","t","1655516.32","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1994","1994","t","1738142.28","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1995","1995","t","1812626.32","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1996","1996","t","1706410.19","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1997","1997","t","1765320.51","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1998","1998","t","1931725.7","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","1999","1999","t","1986607.89","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2000","2000","t","1987728.16","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2001","2001","t","2073741.8","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2002","2002","t","2237223.83","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2003","2003","t","2240541.81","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2004","2004","t","2278516.26","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2005","2005","t","2340946.15","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2006","2006","t","2442056.06","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2007","2007","t","2570413.33","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2008","2008","t","2629064.54","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2009","2009","t","2578183.65","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2010","2010","t","2770388.26","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2011","2011","t","2902393.79","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2012","2012","t","3153489.95","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2013","2013","t","3210628.99","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2014","2014","t","3300612.45","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2015","2015","t","3325491.14","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2016","2016","t","3276399.11","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2017","2017","t","3426041.81","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","F1783","Eggs Primary","2018","2018","t","3488857.42","E","Estimated value"
